Vacancy,VacSTART,VacEND,,
Osterferien,25/03/2013,9/4/2013,,
Pfingsten,10/5/2013,,,
Sommerferien,24/06/2013,2/8/2013,,
Herbstferien,4/10/2013,18/10/2013,,
Weihnachtsferien,23/12/2013,3/1/2014,,
Osterferien,16/04/2014,2/5/2014,,
Pfingsten,30/05/2014,,,
Sommerferien,14/07/2014,22/08/2014,,
Herbstferien,13/10/2014,24/10/2014,,
Weihnachtsferien,22/12/2014,6/1/2015,,
Osterferien,1/4/2015,17/04/2015,,
Pfingsten,15/05/2015,,,
Sommerferien,20/07/2015,29/08/2015,,
Herbstferien,19/10/2015,30/10/2015,,
Weihnachtsferien,21/12/2015,6/1/2016,,
Osterferien,24/03/2016,9/4/2016,,
Pfingsten,6/5/2016,,,
Sommerferien,25/07/2016,3/9/2016,,
Herbstferien,17/10/2016,28/10/2016,,
Weihnachtsferien ,23/12/2016,6/1/2017,,
Osterferien,7/4/2017,21/04/2017,,
Sommerferien,24/07/2017,1/9/2017,,
Herbstferien,16/10/2017,27/10/2017,,
Weihnachtsferien,21/12/2017,5/1/2018,,
